A,elt,Z,S(2n),S(2n)_err,S(2p),S(2p)_err,Q(a),Q(a)_err,Q(2B-),Q(2B-)_err,Q(ep),Q(ep)_err,Q(B- n),Q(B- n)_err,N,N_to_Z_ratio,Vp,Vn,Shell_Closure,Parity,S(n),N_Z_excess,S(2n)_MeV
57,Mn,25,15916.3733,1.5194,22939.0854,27.0552,-8059.5201,3.4481,1859.3786,1.5846,-18591.8497,175.8908,-4950.4341,1.5218,32,1.28,-3,4,0,,8645.9314,7,15.9163733
14,N,7,30617.2874,0.9999,25083.9232,1.3214,-11612.1097,0.0149,-29100.9859,41.1187,-20987.5023,1.0001,-28323.3329,9.5263,7,1.0,-1,-1,0,,10553.3823,0,30.617287400000002
21,F,9,14702.7962,1.8,30481.8024,16.5022,-10342.5998,15.1076,2137.2521,1.8005,-29103.0741,78.9146,-1076.9911,1.8,12,1.3333333333333333,1,4,0,,8101.4601,3,14.7027962
165,Eu,63,10297.9205,5.2904,22347.0,400.0,-3067.4302,10.4313,9859.7462,5.4357,-19658.0,400.0,893.2663,5.3077,102,1.619047619047619,13,20,0,,5568.2753,39,10.2979205
91,Mo,42,23336.5262,7.3634,11908.8025,6.8293,-5286.6035,7.49,-13969.0014,6.6216,-725.2579,6.2392,-19555.456,6.3217,49,1.1666666666666667,-8,-1,0,,10107.6379,7,23.3365262
135,Ba,56,16439.7789,1.0219,14785.0139,2.4125,-1861.9957,0.2454,-3234.3472,10.2641,-7013.7914,0.2454,-10703.3141,19.9311,79,1.4107142857142858,6,-3,0,,6971.9707,23,16.4397789
65,Co,27,13476.2885,18.6914,26876.0868,4.2685,-9867.9915,3.1242,8078.4719,2.1797,-23485.1361,4.1069,-157.4896,2.1335,38,1.4074074074074074,-1,10,0,,7464.0817,11,13.4762885
42,P,15,6911.6046,126.5579,42307.0,315.0,-17803.0,178.0,25923.612,112.1642,-40787.0,411.0,12029.1041,95.0977,27,1.8,-5,-1,0,,1999.7084,12,6.9116045999999995
169,Gd,64,9257.0,400.0,23138.0,640.0,-2805.0,565.0,11706.0,500.0,-19539.0,500.0,820.0,400.0,105,1.640625,14,-21,0,,3812.0,41,9.257
85,Ge,32,8289.6207,4.4439,31411.0,300.0,-9348.6734,6.2616,19290.2182,4.5481,-28582.0,400.0,4658.8233,4.8901,53,1.65625,4,3,0,,3046.3096,21,8.289620699999999
151,La,57,9233.0546,479.3143,24589.0,591.0,-3815.1823,435.5542,13469.3424,435.6293,-22429.0,591.0,3465.2057,435.6306,94,1.6491228070175439,7,12,0,,5070.5098,37,9.2330546
259,Md,101,11571.0,101.0,10417.0,423.0,7050.0,100.0,-2287.0,123.0,-6427.0,413.0,-5985.0,142.0,158,1.5643564356435644,19,32,0,,6198.0,57,11.571
163,Eu,63,10924.8538,10.4387,21065.1721,9.0806,-2444.3835,10.0795,8021.9348,4.1593,-17823.0,300.0,-364.4169,4.0643,100,1.5873015873015872,13,18,0,,5922.193,37,10.924853800000001
63,V,23,7705.6557,413.2604,36818.0,690.0,-13335.5063,421.8023,25146.9197,340.0158,-36339.0,690.0,11041.1524,340.0128,40,1.7391304347826086,3,-10,0,,4598.2954,17,7.7056557
203,Au,79,12885.3743,4.3757,17881.0,200.0,-1169.8255,41.1689,2617.8655,3.2621,-13792.0,300.0,-3869.4521,3.1299,124,1.5696202531645569,-3,-2,0,,6861.7799,45,12.885374299999999
212,Th,90,18091.2707,21.3856,2909.8944,13.6064,7958.0367,4.5583,,,3990.0453,11.263,-18012.6576,70.2038,122,1.3555555555555556,8,-4,0,,9836.828,32,18.091270700000003
106,Tc,43,13419.9197,27.7095,22543.1981,12.3791,-5902.9035,12.5045,6586.4038,11.002,-17149.677,12.8918,-1913.0277,12.2883,63,1.4651162790697674,-7,13,0,,5561.2672,20,13.419919700000001
159,Sm,62,11672.8319,7.3774,20291.6749,6.3065,-2348.9691,10.8896,6354.008,6.0135,-15661.6972,6.0753,-3008.7061,6.2715,97,1.564516129032258,12,15,0,,5027.3184,35,11.672831899999998
203,Ra,88,19478.1222,22.4942,1869.1988,14.0106,7736.2613,6.3728,,,7586.9202,20.0202,,,115,1.3068181818181819,6,-11,0,,8544.8873,27,19.4781222
207,Pt,78,7462.0,500.0,,,706.0,565.0,12348.0,401.0,,,1980.0,500.0,129,1.6538461538461537,-4,3,0,,2970.0,51,7.462
116,Te,52,19516.7522,34.3898,9281.9994,24.2058,966.3408,24.2076,-12216.9152,27.4421,-2518.9179,24.2058,-16997.3059,37.6797,64,1.2307692307692308,2,14,0,,11272.3432,12,19.5167522
183,Lu,71,11061.3358,149.1002,18854.0,507.0,-241.0,408.0,5577.4325,80.1243,-15515.0,507.0,-1737.796,80.3454,112,1.5774647887323943,-11,-14,0,,6017.0,41,11.0613358
99,Rh,45,19129.5936,40.4467,12938.0274,19.8811,-1988.0827,20.1023,-8872.0388,20.4347,-6441.2789,19.7417,-12334.8543,20.0203,54,1.2,-5,4,0,,10480.6212,9,19.1295936
280,Rg,111,12777.0,659.0,6459.0,786.0,10148.7999,10.2,-7354.0,665.0,-988.0,856.0,-9206.0,663.0,169,1.5225225225225225,-15,43,0,,5907.0,58,12.777
101,Zr,40,11686.9528,13.4029,25220.4022,9.5841,-7005.2287,8.9932,10358.9647,8.3378,-20632.4533,10.8289,-1441.0591,11.5333,61,1.525,-10,11,0,,4859.569,21,11.686952799999998
213,Ac,89,17145.0917,55.0038,4296.5982,16.6986,7498.2578,4.2486,-13513.1647,58.3474,2368.0566,14.5818,-14041.1749,15.4257,124,1.3932584269662922,7,-2,0,,9229.8885,35,17.145091700000002
114,Pd,46,13311.9433,9.4758,22437.4156,11.8504,-5842.6333,11.3102,6524.5875,6.9524,-18911.5014,38.9073,-4534.8396,18.0345,68,1.4782608695652173,-4,-14,0,,7971.1649,22,13.311943300000001
71,Zn,30,15053.516,2.7689,21928.0724,4.5745,-6011.0138,3.9219,2577.8707,2.7759,-15403.8889,3.4115,-6489.954,2.8809,41,1.3666666666666667,2,-9,0,,5835.3561,11,15.053516
94,Nb,41,16058.4089,1.9872,16130.5108,9.2478,-2297.0667,1.5325,-2210.7313,4.3342,-9430.8787,10.5855,-7633.3021,1.502,53,1.2926829268292683,-9,3,0,,7227.5412,12,16.0584089
126,Te,52,15682.6621,0.0854,16410.6344,0.3976,-2549.1306,2.424,-917.7807,1.3536,-11459.4814,0.4451,-9299.4618,0.1,74,1.4230769230769231,2,-8,0,,9113.6918,22,15.6826621
127,Pd,46,9403.0,640.0,33429.0,583.0,-13095.0,707.0,21521.0,500.0,,,5429.0,539.0,81,1.7608695652173914,-4,-1,0,,3501.0,35,9.403
192,Pb,82,18277.8751,13.7569,5759.163,16.8987,5221.5895,4.79,-14485.3623,12.0725,751.0319,23.0006,-17383.8127,9.4259,110,1.3414634146341464,0,-16,1,,10331.9204,28,18.277875100000003
292,Mc,115,12335.0,916.0,6293.0,842.0,10205.0,989.0,-7021.0,968.0,,,-8715.0,937.0,177,1.5391304347826087,-11,51,0,,5651.0,62,12.335
114,I,53,21718.2323,22.4961,5617.9037,26.8136,2385.8939,20.8956,-17953.0066,87.3933,4489.0598,26.3947,-18506.6265,21.1628,61,1.150943396226415,3,11,0,,9590.7363,8,21.7182323
250,Md,101,14691.0,205.0,6478.0,105.0,8155.4227,27.6804,,,-65.0,96.0,-11459.0,294.0,149,1.4752475247524752,19,23,0,,6853.1295,48,14.691
206,Hg,80,12398.2159,20.4425,17904.0,201.0,-678.5156,32.4092,2839.7787,20.4096,-15415.0,301.0,-5196.2435,20.4097,126,1.575,-2,0,1,,6729.3271,46,12.398215899999999
