1,A,elt,Z,S(2n),S(2n)_err,S(2p),S(2p)_err,Q(a),Q(a)_err,Q(2B-),Q(2B-)_err,Q(ep),Q(ep)_err,Q(B- n),Q(B- n)_err,N,N_to_Z_ratio,Vp,Vn,Shell_Closure,Parity,S(n),N_Z_excess
,22,Si,14,*,,-1584#,500#,*,,*,,15447#,500#,*,,8,0.571428571,6,0,0,+,*,-6
0,23,C,6,-2385#,1161#,*,,*,,49549#,1004#,*,,24335#,1018#,17,2.833333333,-2,-3,-1.2,,-2488#,11
,23,N,7,4654.1225,441.4155,56240.3999,699.2744,-25474.7374,672.9671,33435.1656,421.8875,*,,19366.0789,424.404,16,2.285714286,-1,-4,-0.8,,3115.6936,9
,23,O,8,9583.2993,122.302,45600#,608#,-20217.2997,156.5064,19775.4156,121.7119,-46278.8034,261.5369,3756.6767,122.3418,15,1.875,0,-5,0,,2732.9795,7
,23,F,9,12809.7675,33.369,36524.5941,138.1271,-14995.9075,37.1394,12815.1169,33.3204,-35768.5122,210.434,3238.6611,33.3204,14,1.555555556,1,6,0.857142857,,7579.4305,5
,23,Ne,10,15564.9047,0.1113,27794.0209,12.0005,-10911.8187,2.639,319.6296,0.1091,-21726.0482,56.9211,-8043.9716,0.1677,13,1.3,2,5,1.428571429,,5200.6473,3
,23,Na,11,23487.6323,0.0424,24060.1904,1.8,-10467.3243,0.002,-16277.9246,0.3447,-19612.2004,12.399,-17201.1852,0.1593,12,1.090909091,3,4,1.714285714,,12419.7801,1
,23,Mg,12,32520.1613,0.7552,14319.8403,0.0499,-9650.644,0.1632,-29423#,500#,-4737.9299,0.0363,-31746#,401#,11,0.916666667,4,3,1.714285714,,13145.0063,-1
,23,Al,13,36484#,600#,5645.0136,0.3473,-8606.2292,10.5408,*,,4640.4916,0.369,-34963#,500#,10,0.769230769,5,2,1.428571429,,19525#,-3
,23,Si,14,*,,1532#,500#,-10314#,504#,*,,17061#,500#,*,,9,0.642857143,6,1,0.857142857,,17762#,-5
0,24,N,7,969#,451#,*,,-24888#,677#,39393#,412#,*,,24245#,419#,17,2.428571429,-1,-3,-0.75,,-2146#,10
,24,O,8,6925.2638,174.4236,49688.7407,284.203,-21428.0782,283.4984,24452.0468,164.8753,-52959#,1010#,7143.8229,168.2077,16,2,0,-4,0,+,4192.2843,8
,24,F,9,11391.4961,98.4542,38798.2308,229.5904,-16646.8978,125.5539,15962.4166,97.6703,-36464.8842,431.7618,4627.2428,97.6704,15,1.666666667,1,-5,1.25,,3812.0656,6
,24,Ne,10,14069.5628,0.5123,29812.6166,56.9233,-12172.73,1.0227,7981.9358,0.5128,-27861.9841,121.7129,-4493.1069,0.5127,14,1.4,2,6,1.5,+,8868.9154,4
,24,Na,11,19379.1454,0.1328,25789.2187,12.399,-10825.3534,0.034,-8369.0886,0.2285,-18992.1352,33.3204,-11015.5442,0.0357,13,1.181818182,3,5,1.875,,6959.3653,2
,24,Mg,12,29676.2279,0.1597,20486.8045,0.0219,-9316.5618,0.013,-24678.7638,19.4721,-16068.5042,0.1052,-28752.9673,0.3449,12,1,4,4,2,+,16531.2216,0
,24,Al,13,34393#,401#,9445.3628,0.2632,-9324.2165,1.1277,-34069#,500#,2192.0703,0.2279,-32070#,500#,11,0.846153846,5,3,1.875,,14868.2013,-2
,24,Si,14,39037#,501#,3432.7702,19.4727,-9157.4242,19.561,*,,8929.8891,19.4721,*,,10,0.714285714,6,2,1.5,+,21276#,-4
,24,P,15,*,,-1241#,641#,*,,*,,19983#,500#,*,,9,0.6,-5,1,1.25,,*,-6
0,25,N,7,-3120#,656#,*,,-24825#,752#,44649#,512#,*,,29411#,529#,18,2.571428571,-1,-2,-0.666666667,,-973#,11
,25,O,8,3434.9766,205.1014,51420#,1010#,-20739#,619#,29364.5331,167.62,*,,11713.1962,191.8132,17,2.125,0,-3,0,,-757.3077,9
,25,F,9,8093.7327,102.0362,39964.2043,431.4857,-16322.6644,165.1362,20691.9805,96.4499,-42893#,412#,9214.4912,96.4438,16,1.777777778,1,-4,1.333333333,,4281.6671,7
,25,Ne,10,13024.0941,29.0455,31234.8157,125.1296,-12522.4526,31.4266,11157.279,29.0454,-27824.8784,167.4133,-1688.9203,29.0453,15,1.5,2,-5,3.333333333,,4155.1786,5
,25,Na,11,15970.5962,1.2,27221.0192,33.342,-11735.1243,2.1633,-441.8397,1.2017,-24191.3006,97.6777,-3495.5535,1.2001,14,1.272727273,3,6,2,,9011.231,3
,25,Mg,12,23861.7435,0.0566,22616.6791,0.1145,-9885.9215,0.0607,-17020.1037,10.0001,-14530.1107,0.5148,-21215.2879,0.2326,13,1.083333333,4,5,2.222222222,,7330.5219,1
,25,Al,13,31806.6812,0.3507,13964.0625,0.0648,-9156.0324,0.0774,-29106#,400#,-7787.0443,0.0669,-27732.4776,19.4722,12,0.923076923,5,4,2.222222222,,16938.4799,-1
,25,Si,14,36265#,500#,5276.9459,10.0001,-9501.4448,10.0284,*,,10471.9288,10,-38264#,500#,11,0.785714286,6,3,2,,14989.182,-3
,25,P,15,*,,1136#,400#,-9324#,721#,*,,12950#,400#,*,,10,0.666666667,-5,2,3.333333333,,21901#,-5
0,26,O,8,-18.0001,5,*,,-21375.0782,284.247,34179.927,165.9765,*,,15255.5557,191.0752,18,2.25,0,-2,0,+,739.3077,10
,26,F,9,5012.497,144.8941,42841#,415#,-15515.0654,233.7243,25535.4354,107.0844,-44597#,514#,12638.8399,110.8984,17,1.888888889,1,-3,1.5,,730.8299,8
,26,Ne,10,9709.8802,18.4359,32597.2329,165.9012,-11226.8344,59.8299,16695.6572,18.4288,-34136.8876,166.1097,1767.6091,18.4678,16,1.6,2,-4,4,+,5554.7015,6
,26,Na,11,14585.5158,3.5017,28983.2384,97.7331,-12079.0722,12.884,5349.359,3.5023,-25483.9183,96.5059,-1739.3165,3.502,15,1.363636364,3,-5,7.5,,5574.2849,4
,26,Mg,12,18423.6016,0.0314,24840.8433,0.5135,-10614.7437,0.0342,-9073.5403,0.1057,-21468.0117,29.0453,-15369.8877,0.0629,14,1.166666667,4,6,2.4,+,11093.0797,2
